Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Fungal infection,Keep the affected area clean and dry,Avoid sharing towels clothing or personal items,Use prescribed antifungal treatment exactly as directed,Avoid scratching the affected area
Hepatitis C,Consult a healthcare professional for evaluation and treatment,Take prescribed antiviral treatment exactly as directed,Avoid alcohol and discuss liver health with your clinician,Attend recommended follow-up appointments
Migraine,Identify and avoid personal migraine triggers,Maintain regular sleep and meal patterns,Stay hydrated,Follow a healthcare professional's treatment plan
Bronchial Asthma,Avoid known asthma triggers,Use prescribed inhalers and medicines as directed,Follow your asthma action plan,Seek urgent medical help for severe breathing difficulty
Alcoholic hepatitis,Avoid alcohol and seek medical care,Follow the treatment plan provided by a healthcare professional,Take prescribed medicines exactly as directed,Attend recommended liver-health follow-up
Jaundice,Consult a healthcare professional to identify the cause,Stay hydrated and follow medical advice,Avoid alcohol unless your clinician advises otherwise,Seek prompt medical care if jaundice worsens or severe symptoms develop
Hepatitis E,Rest and stay hydrated,Follow medical advice and prescribed treatment,Avoid alcohol while recovering,Practice good hand hygiene and food safety
Dengue,Consult a doctor or healthcare professional,Stay hydrated and get adequate rest,Use mosquito nets or repellents to reduce mosquito exposure,Avoid aspirin or ibuprofen unless a healthcare professional specifically advises them
Hepatitis D,Consult a healthcare professional for evaluation,Take prescribed treatment exactly as directed,Avoid alcohol and follow liver-health advice,Attend recommended follow-up appointments
Heart attack,Call emergency medical services immediately,Follow the emergency treatment instructions provided by medical professionals,Take prescribed heart medicines exactly as directed,Attend cardiac follow-up and rehabilitation as advised
Pneumonia,Consult a healthcare professional promptly,Take prescribed medicines exactly as directed,Rest and stay hydrated,Seek urgent medical care for severe breathing difficulty or worsening symptoms
Arthritis,Stay physically active with suitable exercises,Use heat or cold therapy only as advised if helpful,Take prescribed medicines as directed,Consult a healthcare professional if pain or swelling worsens
Gastroenteritis,Drink fluids regularly to prevent dehydration,Rest and gradually return to normal food as tolerated,Practice careful hand hygiene to reduce spread,Seek medical care for severe dehydration blood in stool or persistent symptoms
Tuberculosis,Take the complete prescribed treatment exactly as directed,Attend all recommended follow-up appointments,Cover coughs and follow infection-control advice,Seek medical advice if symptoms worsen
